,start_window,tweet_ids,n_tweets,is_incident,incident_related_tweets,first_incident_related_tweet_created_at
0,2020-06-03 15:35:06,"[1268174372486995975, 1268174385023778816, 1268174389545259009, 1268174412035108869, 1268174454863134720, 1268174465596379136, 1268174507606409217, 1268174560282710019, 1268174665580675072, 1268174722568720384, 1268174747248070656, 1268174790843674625, 1268174828667842560, 1268174836016263168, 1268174859286315010, 1268174859768598529, 1268174859978379265, 1268174861987430400, 1268174911366971392, 1268175028572557317, 1268175091193479175, 1268175200996200450, 1268175202019692546, 1268175211670769671, 1268175224362729479, 1268175261297770496, 1268175285935013890, 1268175554181767173, 1268175578106155012]",29,False,[],
1,2020-06-03 15:45:06,"[1268177070175199236, 1268177071316099072, 1268177102643384326, 1268177123648339968, 1268177124109803520, 1268177167311126528, 1268177193693261824, 1268177209707114499, 1268177214652153858, 1268177224441778176, 1268177233631481858, 1268177240069681154, 1268177273431240706, 1268177286592958464, 1268177317064564738, 1268177332986052608, 1268177344172302336, 1268177366888714242, 1268177395930091526, 1268177523810107394, 1268177528742699011, 1268177569213489161, 1268177581695799301, 1268177595679617025, 1268177657444868102, 1268177661416914954, 1268177732468445184, 1268177807882027008, 1268177839309885442, 1268177887456382980, 1268177917932195841, 1268177932138221569, 1268177984969728004, 1268177990116167684, 1268178018327035904, 1268178018645749763, 1268178061310255104, 1268178061322846210, 1268178125713702919]",39,False,[],
2,2020-06-03 17:05:06,"[1268197022118666241, 1268197027025874944, 1268197072987140107, 1268197101495869442, 1268197139102019585, 1268197188854853632, 1268197226679017474, 1268197238100185091, 1268197265996480513, 1268197289824305153, 1268197448402558988, 1268197486105112576, 1268197503490502656, 1268197518757769217, 1268197578669207560, 1268197616057290752, 1268197622340366336, 1268197658214256641, 1268197722168995846, 1268197760446193665, 1268197790116720643, 1268197832684683264, 1268197863831592961, 1268197941384228866, 1268197972107497472, 1268198018014162949, 1268198031238799360, 1268198046992646144, 1268198049735675904, 1268198072816893957, 1268198115246575616, 1268198115833716736, 1268198133793796096, 1268198158087213056, 1268198179700445186, 1268198225783259138]",36,False,[],
3,2020-06-03 17:15:06,"[1268199554614284289, 1268199573278937089, 1268199598364950537, 1268199618258624512, 1268199642287820800, 1268199643617337345, 1268199658280673285, 1268199782872473601, 1268199788543119360, 1268199810856779776, 1268199813235068929, 1268199825310453760, 1268199921330651138, 1268199933938675712, 1268199954935418880, 1268200009952092166, 1268200020286869504, 1268200104374263810, 1268200155934793732, 1268200178626027522, 1268200247014109185, 1268200322536701952, 1268200346536607744, 1268200348168093708, 1268200363175411716, 1268200392560607232, 1268200462936936449, 1268200484839600129, 1268200509439123456, 1268200512244944897, 1268200535968137216, 1268200540783116292, 1268200618168123394, 1268200658802487299, 1268200669321854981, 1268200709700423682, 1268200727454855169, 1268200739395928065, 1268200746778050565, 1268200764310159362, 1268200786158333953]",41,False,[],
4,2020-06-03 17:20:06,"[1268200813010313216, 1268200842873712641, 1268200845839151105, 1268200925711253507, 1268200938579415046, 1268200949224542210, 1268200954203115521, 1268200974692372482, 1268200979129946114, 1268200979209601036, 1268201039733362689, 1268201069445775362, 1268201129642426372, 1268201167558971396, 1268201215365648384, 1268201221418037248, 1268201224958095360, 1268201238383996928, 1268201244927168514, 1268201248769150981, 1268201267886686211, 1268201287520333824, 1268201291207106561, 1268201294558384128, 1268201299587280897, 1268201370219249664, 1268201375307005954, 1268201424493645827, 1268201464096264192, 1268201475097927680, 1268201509021454338, 1268201534652809216, 1268201549160837121, 1268201581809487873, 1268201607394734080, 1268201617821753347, 1268201659785609216, 1268201667855634432, 1268201669449388037, 1268201823002902533, 1268201846902075395, 1268201857945604099, 1268201867634446337, 1268201868615966720, 1268201884164243457, 1268201923875872768, 1268201944016969731, 1268201954163011586, 1268201984336842752]",49,False,[],
5,2020-06-03 17:25:06,"[1268202060576624643, 1268202060828356610, 1268202071628623874, 1268202077387448320, 1268202123789062144, 1268202146941542402, 1268202191308947457, 1268202196354678788, 1268202208975339520, 1268202214574743555, 1268202244429807616, 1268202249047756806, 1268202249647542274, 1268202279351566339, 1268202299123470339, 1268202345407680518, 1268202359341096966, 1268202366328864768, 1268202368052707328, 1268202378588758016, 1268202390550974464, 1268202404870270976, 1268202437254537217, 1268202492036362240, 1268202497837019138, 1268202557647785985, 1268202589876871172, 1268202622055518208, 1268202632641949697, 1268202663008665600, 1268202667903463426, 1268202754230624259, 1268202795133534208, 1268202813634613248, 1268202818562818055, 1268202864482103298, 1268202875454459906, 1268202880139485185, 1268202902339936268, 1268202927556100097, 1268202931259609088, 1268202937676947458, 1268202951241273345, 1268203005712699392, 1268203024624779265, 1268203073371082760, 1268203092182532096, 1268203131827040263, 1268203138986717187, 1268203152106496000, 1268203169827508224, 1268203202727546880, 1268203225695629315, 1268203258834804737, 1268203259287801857, 1268203307811700737, 1268203308377944070, 1268203310072369152]",58,False,[],
6,2020-06-03 17:50:06,"[1268208351332237316, 1268208359469178886, 1268208362132471811, 1268208389483646976, 1268208405015146498, 1268208422262116355, 1268208435180470273, 1268208454684082179, 1268208456647016448, 1268208479174524930, 1268208483633106944, 1268208486787289090, 1268208501807079429, 1268208507666550786, 1268208517074366467, 1268208533159493636, 1268208536602972163, 1268208554919571456, 1268208574158835717, 1268208578692816901, 1268208600117370882, 1268208607759413250, 1268208626696630274, 1268208635190095872, 1268208654672711680, 1268208667658248192, 1268208707533496321, 1268208708066172930, 1268208712763801601, 1268208713837535233, 1268208718761558018, 1268208729973030919, 1268208736826466305, 1268208786445086721, 1268208791704780802, 1268208816958685186, 1268208827889070080, 1268208849858760704, 1268208856284397583, 1268208857815437312, 1268208863154667526, 1268208870985433089, 1268208888152764417, 1268208907933159425, 1268208911020154884, 1268208913964568579, 1268208917143748608, 1268208926107078656, 1268208927335907337, 1268208939046522881, 1268208972454035457, 1268208983531311110, 1268208997317910529, 1268209003949105152, 1268209007325515776, 1268209009204629505, 1268209029723164673, 1268209030113214464, 1268209033456103433, 1268209063533445121, 1268209099679858693, 1268209107829432322, 1268209116088020993, 1268209125344841733, 1268209130088660999, 1268209137621630981, 1268209144957468676, 1268209157011841030, 1268209169712189440, 1268209191250014208, 1268209206576001026, 1268209222447235074, 1268209230001180672, 1268209248611241989, 1268209254449786880, 1268209269784150016, 1268209271319269376, 1268209273865199616, 1268209310875688960, 1268209321659322371, 1268209358112010247, 1268209376797626373, 1268209379913994241, 1268209416983191558, 1268209464873713673, 1268209466765381634, 1268209473409212417, 1268209480983908354, 1268209500441530368, 1268209552396357633, 1268209577956278276, 1268209599515111425]",92,True,[1268208454684082179],2020-06-03 17:50:32
7,2020-06-03 18:05:06,"[1268212131872354309, 1268212141011750916, 1268212165086937088, 1268212172716494850, 1268212189405548546, 1268212196015845376, 1268212205532692480, 1268212222230245376, 1268212223010365442, 1268212229691920386, 1268212232762130434, 1268212270460473346, 1268212276215021572, 1268212278828183560, 1268212280510033920, 1268212292023451649, 1268212316019077121, 1268212321316462594, 1268212369265737729, 1268212369962012674, 1268212419530305537, 1268212419844878337, 1268212422466306048, 1268212445270675457, 1268212450249277440, 1268212467932499979, 1268212474999865344, 1268212476803416066, 1268212489411604487, 1268212493970804738, 1268212502141325318, 1268212503818928128, 1268212551919206406, 1268212559439634432, 1268212570206470145, 1268212575457640449, 1268212592360726528, 1268212594764111872, 1268212599814074370, 1268212605782392834, 1268212626502410248, 1268212638263148547, 1268212640561729536, 1268212642444869633, 1268212644902830093, 1268212651747880964, 1268212655346548737, 1268212668084752386, 1268212670790021122, 1268212672996282369, 1268212680361459712, 1268212704482902024, 1268212712653443081, 1268212712984674307, 1268212718257004547, 1268212736690999296, 1268212752050540544, 1268212758614609921, 1268212777115619329, 1268212810686894083, 1268212825601855493, 1268212828340699137, 1268212836653772800, 1268212874020864001, 1268212893167820801, 1268212911371100161, 1268212927959576579, 1268212937820442624, 1268212948054478849, 1268212957592371200, 1268212968371695618, 1268212971039330304, 1268213003670953984, 1268213006166626311, 1268213040480161795, 1268213040832548866, 1268213041096785921, 1268213053671292929, 1268213070872162304, 1268213070930890754, 1268213076840656898, 1268213087087271941, 1268213097258536967, 1268213101750599681, 1268213102358781952, 1268213110378303489, 1268213115080118276, 1268213138681409538, 1268213167991205890, 1268213179785654272, 1268213201352744960, 1268213202065784833, 1268213202866798594, 1268213218289299461, 1268213225004380166, 1268213229542682625, 1268213246974197765, 1268213252036726790, 1268213261859782656, 1268213261989826560, 1268213265903112195, 1268213273914195973, 1268213278255316998, 1268213282965520386, 1268213312174645248, 1268213320395509762, 1268213334047850497, 1268213337793482757, 1268213346324615169, 1268213347977224192, 1268213361088565252, 1268213362640519169, 1268213376586481665]",113,True,"[1268212493970804738, 1268212570206470145]",2020-06-03 18:06:35
8,2020-06-03 18:10:06,"[1268213385407139841, 1268213391132372993, 1268213395238653954, 1268213417749499914, 1268213423587852291, 1268213459948376066, 1268213462393655297, 1268213481540587521, 1268213489916665857, 1268213490096930817, 1268213492542251008, 1268213499823620096, 1268213503598497792, 1268213507562094592, 1268213513580957697, 1268213515564855297, 1268213531238948864, 1268213576671604741, 1268213585576112134, 1268213594723885057, 1268213607659180038, 1268213615225647118, 1268213624092463105, 1268213634058027011, 1268213646213156864, 1268213663267250176, 1268213663711854592, 1268213670280077313, 1268213672758915078, 1268213674369564673, 1268213675799740419, 1268213680958844928, 1268213682296836096, 1268213708238589955, 1268213716560076801, 1268213720196530176, 1268213723933655049, 1268213725573545990, 1268213738320080896, 1268213745911726080, 1268213759862018054, 1268213766405214208, 1268213772629479427, 1268213784008634368, 1268213790081978368, 1268213799456210944, 1268213816388657153, 1268213817261121538, 1268213822705168389, 1268213841827106816, 1268213842330497026, 1268213849561448450, 1268213877411663874, 1268213891257032704, 1268213894427873282, 1268213918331174913, 1268213932742844420, 1268213938279325697, 1268213946999332866, 1268213954830090243, 1268213956180619266, 1268213961188663297, 1268213962392428545, 1268213965970161665, 1268213975856152577, 1268213980398604288, 1268213997930606593, 1268213998757056512, 1268214001609170945, 1268214010429784064, 1268214014640902144, 1268214016272404480, 1268214042772090881, 1268214043002769409, 1268214044365914115, 1268214046232391689, 1268214048677597193, 1268214053211713537, 1268214060383899648, 1268214068717985792, 1268214095150485504, 1268214126091829248, 1268214127484375041, 1268214136640602113, 1268214148455858182, 1268214152398602240, 1268214164838850561, 1268214167225466880, 1268214167426736129, 1268214168429252615, 1268214168483700738, 1268214168576024577, 1268214172157968385, 1268214172514488321, 1268214178856255488, 1268214191040667650, 1268214193137819650, 1268214200578584576, 1268214204076605442, 1268214227732496386, 1268214234803994624, 1268214246225121280, 1268214246418112517, 1268214259722444801, 1268214268807217152, 1268214276843606016, 1268214279435624449, 1268214283751624705, 1268214283797762049, 1268214287434158080, 1268214291636924418, 1268214292727431171, 1268214316819505152, 1268214320011362304, 1268214320904769541, 1268214322792140800, 1268214324583108608, 1268214324683837440, 1268214324792868864, 1268214324981612548, 1268214325707255808, 1268214330237038594, 1268214335127654401, 1268214337694502914, 1268214348419411973, 1268214352131260416, 1268214355658670081, 1268214360989712384, 1268214364651356161, 1268214366610087937, 1268214382376476672, 1268214387426418688, 1268214393751420928, 1268214399539580928, 1268214401166979074, 1268214401552863233, 1268214405696798722, 1268214407257100290, 1268214408565739523, 1268214412810301440, 1268214413481390080, 1268214426655694848, 1268214427574296577, 1268214442304602112, 1268214446264135681, 1268214453797093386, 1268214466803630083, 1268214473485103107, 1268214482993627140, 1268214488186204160, 1268214506628530177, 1268214512978735108, 1268214515621126144, 1268214516942286854, 1268214520981446656, 1268214533618835457, 1268214542263365637, 1268214547128647684, 1268214590682300418, 1268214592699858944, 1268214595505795074, 1268214596281815043, 1268214596319543303, 1268214619925069826, 1268214630737985536, 1268214633548128261]",166,False,[],
