,start_window,tweet_ids,n_tweets,is_incident,incident_related_tweets,first_incident_related_tweet_created_at
0,2020-06-03 15:45:06,"[1268177070175199236, 1268177071316099072, 1268177102643384326, 1268177123648339968, 1268177124109803520, 1268177167311126528, 1268177193693261824, 1268177209707114499, 1268177214652153858, 1268177224441778176, 1268177233631481858, 1268177240069681154, 1268177273431240706, 1268177286592958464, 1268177317064564738, 1268177332986052608, 1268177344172302336, 1268177366888714242, 1268177395930091526, 1268177523810107394, 1268177528742699011, 1268177569213489161, 1268177581695799301, 1268177595679617025, 1268177657444868102, 1268177661416914954, 1268177732468445184, 1268177807882027008, 1268177839309885442, 1268177887456382980, 1268177917932195841, 1268177932138221569, 1268177984969728004, 1268177990116167684, 1268178018327035904, 1268178018645749763, 1268178061310255104, 1268178061322846210, 1268178125713702919]",39,False,[],
1,2020-06-03 17:05:06,"[1268197022118666241, 1268197027025874944, 1268197072987140107, 1268197101495869442, 1268197139102019585, 1268197188854853632, 1268197226679017474, 1268197238100185091, 1268197265996480513, 1268197289824305153, 1268197448402558988, 1268197486105112576, 1268197503490502656, 1268197518757769217, 1268197578669207560, 1268197616057290752, 1268197622340366336, 1268197658214256641, 1268197722168995846, 1268197760446193665, 1268197790116720643, 1268197832684683264, 1268197863831592961, 1268197941384228866, 1268197972107497472, 1268198018014162949, 1268198031238799360, 1268198046992646144, 1268198049735675904, 1268198072816893957, 1268198115246575616, 1268198115833716736, 1268198133793796096, 1268198158087213056, 1268198179700445186, 1268198225783259138]",36,False,[],
2,2020-06-03 17:15:06,"[1268199554614284289, 1268199573278937089, 1268199598364950537, 1268199618258624512, 1268199642287820800, 1268199643617337345, 1268199658280673285, 1268199782872473601, 1268199788543119360, 1268199810856779776, 1268199813235068929, 1268199825310453760, 1268199921330651138, 1268199933938675712, 1268199954935418880, 1268200009952092166, 1268200020286869504, 1268200104374263810, 1268200155934793732, 1268200178626027522, 1268200247014109185, 1268200322536701952, 1268200346536607744, 1268200348168093708, 1268200363175411716, 1268200392560607232, 1268200462936936449, 1268200484839600129, 1268200509439123456, 1268200512244944897, 1268200535968137216, 1268200540783116292, 1268200618168123394, 1268200658802487299, 1268200669321854981, 1268200709700423682, 1268200727454855169, 1268200739395928065, 1268200746778050565, 1268200764310159362, 1268200786158333953]",41,False,[],
3,2020-06-03 17:20:06,"[1268200813010313216, 1268200842873712641, 1268200845839151105, 1268200925711253507, 1268200938579415046, 1268200949224542210, 1268200954203115521, 1268200974692372482, 1268200979129946114, 1268200979209601036, 1268201039733362689, 1268201069445775362, 1268201129642426372, 1268201167558971396, 1268201215365648384, 1268201221418037248, 1268201224958095360, 1268201238383996928, 1268201244927168514, 1268201248769150981, 1268201267886686211, 1268201287520333824, 1268201291207106561, 1268201294558384128, 1268201299587280897, 1268201370219249664, 1268201375307005954, 1268201424493645827, 1268201464096264192, 1268201475097927680, 1268201509021454338, 1268201534652809216, 1268201549160837121, 1268201581809487873, 1268201607394734080, 1268201617821753347, 1268201659785609216, 1268201667855634432, 1268201669449388037, 1268201823002902533, 1268201846902075395, 1268201857945604099, 1268201867634446337, 1268201868615966720, 1268201884164243457, 1268201923875872768, 1268201944016969731, 1268201954163011586, 1268201984336842752]",49,False,[],
4,2020-06-03 17:25:06,"[1268202060576624643, 1268202060828356610, 1268202071628623874, 1268202077387448320, 1268202123789062144, 1268202146941542402, 1268202191308947457, 1268202196354678788, 1268202208975339520, 1268202214574743555, 1268202244429807616, 1268202249047756806, 1268202249647542274, 1268202279351566339, 1268202299123470339, 1268202345407680518, 1268202359341096966, 1268202366328864768, 1268202368052707328, 1268202378588758016, 1268202390550974464, 1268202404870270976, 1268202437254537217, 1268202492036362240, 1268202497837019138, 1268202557647785985, 1268202589876871172, 1268202622055518208, 1268202632641949697, 1268202663008665600, 1268202667903463426, 1268202754230624259, 1268202795133534208, 1268202813634613248, 1268202818562818055, 1268202864482103298, 1268202875454459906, 1268202880139485185, 1268202902339936268, 1268202927556100097, 1268202931259609088, 1268202937676947458, 1268202951241273345, 1268203005712699392, 1268203024624779265, 1268203073371082760, 1268203092182532096, 1268203131827040263, 1268203138986717187, 1268203152106496000, 1268203169827508224, 1268203202727546880, 1268203225695629315, 1268203258834804737, 1268203259287801857, 1268203307811700737, 1268203308377944070, 1268203310072369152]",58,False,[],
5,2020-06-03 17:35:06,"[1268204602412929024, 1268204641579413508, 1268204645815549966, 1268204679038676994, 1268204721904508931, 1268204736211234816, 1268204762970886163, 1268204790376468481, 1268204834156695560, 1268204841391792129, 1268204862858244096, 1268204892457484288, 1268204933540651008, 1268204936082395136, 1268204947641958400, 1268204981125107714, 1268204989974970368, 1268205015291830274, 1268205062314172416, 1268205079804489728, 1268205097705631744, 1268205154463031298, 1268205215628525568, 1268205225279709184, 1268205250265169922, 1268205285694418944, 1268205291268603908, 1268205297480458242, 1268205309786566658, 1268205322537185284, 1268205366564790273, 1268205370645852171, 1268205379877507072, 1268205390392688640, 1268205404191813632, 1268205416539983872, 1268205432713236480, 1268205472269717505, 1268205478150123520, 1268205498001772548, 1268205498349899778, 1268205518260260864, 1268205528020377600, 1268205558236164097, 1268205566012329990, 1268205575801835520, 1268205578863538177, 1268205584014364673, 1268205585499074560, 1268205599604518914, 1268205601479364609, 1268205606428704768, 1268205658555416579, 1268205676561604613, 1268205682790150146, 1268205684878905344, 1268205696400723969, 1268205699231895555, 1268205717254803461, 1268205748418478081, 1268205788620865539, 1268205797248569350]",62,False,[],
6,2020-06-03 17:45:06,"[1268207090973265925, 1268207098355220481, 1268207104466321414, 1268207124783550470, 1268207142923898880, 1268207148816904193, 1268207161164926976, 1268207163853455361, 1268207168395845633, 1268207173634600961, 1268207214222811136, 1268207236159025154, 1268207255935123456, 1268207264852312065, 1268207283827363843, 1268207299635695616, 1268207329079631876, 1268207371979022344, 1268207379084120065, 1268207410533076993, 1268207428820180998, 1268207455177043969, 1268207470482202627, 1268207491374034945, 1268207506909691905, 1268207511229825027, 1268207533346480130, 1268207537712762881, 1268207537947631616, 1268207547934289928, 1268207589352976388, 1268207604200869889, 1268207614338519040, 1268207672542846976, 1268207675046838273, 1268207683951366146, 1268207778256105472, 1268207781343100932, 1268207783972831232, 1268207788779548672, 1268207841078390785, 1268207853023592448, 1268207856999956482, 1268207862972657664, 1268207879741411331, 1268207894962548737, 1268207929271910400, 1268207942110765064, 1268207960947339264, 1268208001598586886, 1268208009659940871, 1268208012172328961, 1268208069428813827, 1268208071362387971, 1268208090765234178, 1268208138236428290, 1268208142078431232, 1268208151775588355, 1268208173804027904, 1268208217802387457, 1268208237163184129, 1268208286115008513, 1268208294851723264, 1268208301474557952, 1268208317459050499, 1268208324673245185, 1268208331811950592]",67,True,[1268207299635695616],2020-06-03 17:45:57
7,2020-06-03 17:50:06,"[1268208351332237316, 1268208359469178886, 1268208362132471811, 1268208389483646976, 1268208405015146498, 1268208422262116355, 1268208435180470273, 1268208454684082179, 1268208456647016448, 1268208479174524930, 1268208483633106944, 1268208486787289090, 1268208501807079429, 1268208507666550786, 1268208517074366467, 1268208533159493636, 1268208536602972163, 1268208554919571456, 1268208574158835717, 1268208578692816901, 1268208600117370882, 1268208607759413250, 1268208626696630274, 1268208635190095872, 1268208654672711680, 1268208667658248192, 1268208707533496321, 1268208708066172930, 1268208712763801601, 1268208713837535233, 1268208718761558018, 1268208729973030919, 1268208736826466305, 1268208786445086721, 1268208791704780802, 1268208816958685186, 1268208827889070080, 1268208849858760704, 1268208856284397583, 1268208857815437312, 1268208863154667526, 1268208870985433089, 1268208888152764417, 1268208907933159425, 1268208911020154884, 1268208913964568579, 1268208917143748608, 1268208926107078656, 1268208927335907337, 1268208939046522881, 1268208972454035457, 1268208983531311110, 1268208997317910529, 1268209003949105152, 1268209007325515776, 1268209009204629505, 1268209029723164673, 1268209030113214464, 1268209033456103433, 1268209063533445121, 1268209099679858693, 1268209107829432322, 1268209116088020993, 1268209125344841733, 1268209130088660999, 1268209137621630981, 1268209144957468676, 1268209157011841030, 1268209169712189440, 1268209191250014208, 1268209206576001026, 1268209222447235074, 1268209230001180672, 1268209248611241989, 1268209254449786880, 1268209269784150016, 1268209271319269376, 1268209273865199616, 1268209310875688960, 1268209321659322371, 1268209358112010247, 1268209376797626373, 1268209379913994241, 1268209416983191558, 1268209464873713673, 1268209466765381634, 1268209473409212417, 1268209480983908354, 1268209500441530368, 1268209552396357633, 1268209577956278276, 1268209599515111425]",92,True,[1268208454684082179],2020-06-03 17:50:32
8,2020-06-03 17:55:06,"[1268209606049832962, 1268209618750189570, 1268209619371012096, 1268209658835148800, 1268209689663340544, 1268209718264311808, 1268209728901054464, 1268209738426310656, 1268209741425266689, 1268209745627922432, 1268209747666309123, 1268209767450902535, 1268209774073655300, 1268209775747239936, 1268209809037410309, 1268209837973831682, 1268209845301362691, 1268209847243325440, 1268209855288029185, 1268209858874159104, 1268209865534713857, 1268209884648046592, 1268209892680228864, 1268209896551571457, 1268209900666212354, 1268209932761006080, 1268209956035182592, 1268209956362354688, 1268209962645434369, 1268209966168539142, 1268209973953286148, 1268209975656136709, 1268210001069453312, 1268210001371435008, 1268210007167897600, 1268210010816946176, 1268210038507802624, 1268210040915312652, 1268210067683397632, 1268210071638618112, 1268210086289248261, 1268210086968786950, 1268210087681830913, 1268210131403255808, 1268210148247515137, 1268210161321213953, 1268210176169033728, 1268210210340065280, 1268210243420463105, 1268210250034929664, 1268210253281271810, 1268210260269060096, 1268210260822691848, 1268210263213445136, 1268210275024584706, 1268210276383494148, 1268210293311750145, 1268210294502961153, 1268210333904179206, 1268210351360872453, 1268210357966905345, 1268210367752175617, 1268210374370885633, 1268210379106197504, 1268210399477936135, 1268210400660803587, 1268210457493585920, 1268210465903165440, 1268210476703535105, 1268210481803689986, 1268210508785766402, 1268210509318365185, 1268210534899494919, 1268210536321335306, 1268210539043356673, 1268210555468361728, 1268210557598957570, 1268210585071685632, 1268210598598279169, 1268210706278756354, 1268210716886122503, 1268210722896515073, 1268210741447995392, 1268210753481383936, 1268210758040592390, 1268210764923523073, 1268210781159591937, 1268210793385951242, 1268210795160186888, 1268210800759582721, 1268210811006320643, 1268210815653556225, 1268210819155857412, 1268210824331624449, 1268210824394543115, 1268210826638311424, 1268210829415112707, 1268210849535201285, 1268210858750095360, 1268210860352253954]",100,True,[1268209741425266689],2020-06-03 17:55:39
9,2020-06-03 18:05:06,"[1268212131872354309, 1268212141011750916, 1268212165086937088, 1268212172716494850, 1268212189405548546, 1268212196015845376, 1268212205532692480, 1268212222230245376, 1268212223010365442, 1268212229691920386, 1268212232762130434, 1268212270460473346, 1268212276215021572, 1268212278828183560, 1268212280510033920, 1268212292023451649, 1268212316019077121, 1268212321316462594, 1268212369265737729, 1268212369962012674, 1268212419530305537, 1268212419844878337, 1268212422466306048, 1268212445270675457, 1268212450249277440, 1268212467932499979, 1268212474999865344, 1268212476803416066, 1268212489411604487, 1268212493970804738, 1268212502141325318, 1268212503818928128, 1268212551919206406, 1268212559439634432, 1268212570206470145, 1268212575457640449, 1268212592360726528, 1268212594764111872, 1268212599814074370, 1268212605782392834, 1268212626502410248, 1268212638263148547, 1268212640561729536, 1268212642444869633, 1268212644902830093, 1268212651747880964, 1268212655346548737, 1268212668084752386, 1268212670790021122, 1268212672996282369, 1268212680361459712, 1268212704482902024, 1268212712653443081, 1268212712984674307, 1268212718257004547, 1268212736690999296, 1268212752050540544, 1268212758614609921, 1268212777115619329, 1268212810686894083, 1268212825601855493, 1268212828340699137, 1268212836653772800, 1268212874020864001, 1268212893167820801, 1268212911371100161, 1268212927959576579, 1268212937820442624, 1268212948054478849, 1268212957592371200, 1268212968371695618, 1268212971039330304, 1268213003670953984, 1268213006166626311, 1268213040480161795, 1268213040832548866, 1268213041096785921, 1268213053671292929, 1268213070872162304, 1268213070930890754, 1268213076840656898, 1268213087087271941, 1268213097258536967, 1268213101750599681, 1268213102358781952, 1268213110378303489, 1268213115080118276, 1268213138681409538, 1268213167991205890, 1268213179785654272, 1268213201352744960, 1268213202065784833, 1268213202866798594, 1268213218289299461, 1268213225004380166, 1268213229542682625, 1268213246974197765, 1268213252036726790, 1268213261859782656, 1268213261989826560, 1268213265903112195, 1268213273914195973, 1268213278255316998, 1268213282965520386, 1268213312174645248, 1268213320395509762, 1268213334047850497, 1268213337793482757, 1268213346324615169, 1268213347977224192, 1268213361088565252, 1268213362640519169, 1268213376586481665]",113,True,"[1268212493970804738, 1268212570206470145]",2020-06-03 18:06:35
