,start_window,tweet_ids,n_tweets,is_incident,incident_related_tweets,first_incident_related_tweet_created_at
0,2020-06-03 14:39:06,"[1268160285740797952, 1268160290853511168, 1268160346885443585, 1268160390116052998, 1268160430444249089, 1268160452921622530, 1268160461779976192]",7,False,[],
1,2020-06-03 14:43:06,"[1268161314804858880, 1268161317082476546, 1268161325441712131, 1268161406731530241, 1268161407692005433, 1268161431976976385, 1268161447584051206, 1268161492807024640]",8,False,[],
2,2020-06-03 14:55:06,"[1268164340018040832, 1268164364370141185, 1268164368321167361, 1268164403297431554, 1268164409341419521, 1268164415993544704, 1268164454660952065, 1268164463565459456, 1268164500752150528, 1268164522365407238]",10,False,[],
3,2020-06-03 15:08:06,"[1268167611260571650, 1268167614473388035, 1268167631745449984, 1268167642424193025, 1268167725815398412, 1268167757893378048, 1268167760883920896, 1268167781100503040, 1268167824951906305]",9,False,[],
4,2020-06-03 15:20:06,"[1268170602646568960, 1268170616986877953, 1268170778350100482, 1268170817055215618, 1268170835640139776, 1268170839545053187, 1268170841575079936]",7,False,[],
5,2020-06-03 15:35:06,"[1268174372486995975, 1268174385023778816, 1268174389545259009, 1268174412035108869, 1268174454863134720, 1268174465596379136, 1268174507606409217, 1268174560282710019]",8,False,[],
6,2020-06-03 15:46:06,"[1268177167311126528, 1268177193693261824, 1268177209707114499, 1268177214652153858, 1268177224441778176, 1268177233631481858, 1268177240069681154, 1268177273431240706, 1268177286592958464, 1268177317064564738, 1268177332986052608, 1268177344172302336, 1268177366888714242]",13,False,[],
7,2020-06-03 16:36:06,"[1268189754320879616, 1268189809895497740, 1268189816149233666, 1268189843772837892, 1268189857026838531, 1268189878170288128]",6,False,[],
8,2020-06-03 16:42:06,"[1268191247753261057, 1268191284197556225, 1268191297090793473, 1268191328028037124, 1268191342691311616, 1268191356977065989, 1268191365156032512]",7,False,[],
9,2020-06-03 16:48:06,"[1268192781413072901, 1268192790724448258, 1268192822773059585, 1268192824761163776, 1268192878204989440, 1268192904734035968, 1268192912095019009, 1268192918520639488, 1268192988439740416]",9,False,[],
10,2020-06-03 16:56:06,"[1268194768275812352, 1268194781584396288, 1268194805441597441, 1268194846419955714, 1268194854514962432, 1268194864698621954, 1268194911796559878, 1268194961025089541, 1268194983460438021]",9,False,[],
11,2020-06-03 17:05:06,"[1268197022118666241, 1268197027025874944, 1268197072987140107, 1268197101495869442, 1268197139102019585, 1268197188854853632, 1268197226679017474, 1268197238100185091, 1268197265996480513]",9,False,[],
12,2020-06-03 17:09:06,"[1268198031238799360, 1268198046992646144, 1268198049735675904, 1268198072816893957, 1268198115246575616, 1268198115833716736, 1268198133793796096, 1268198158087213056, 1268198179700445186, 1268198225783259138]",10,False,[],
13,2020-06-03 17:25:06,"[1268202060576624643, 1268202060828356610, 1268202071628623874, 1268202077387448320, 1268202123789062144, 1268202146941542402, 1268202191308947457, 1268202196354678788, 1268202208975339520, 1268202214574743555, 1268202244429807616, 1268202249047756806, 1268202249647542274, 1268202279351566339, 1268202299123470339]",15,False,[],
